,overall,reviewTime,reviewText
234,-1.0,2018,Product had false key.  Fake Microsoft phone number appeared after I hit the activate button.  pc was hacked.' fake caller took remote control.  I unhooked internet when confidential data was flashing on screen.  Watch out.
235,1.0,2018,the codes worked fine.  Im not really a fan of having to buy this program every year though
236,1.0,2018,This product was good i loved that i was able to give some codes out to couple of friends that needed this product
237,1.0,2018,It is just a must have for your computer what is not to like.
238,1.0,2018,Having access on more than one device helps.
239,1.0,2018,wouldn't go with anything else
240,1.0,2018,"Quick, convenient way to get a subscription for Office 365. Easy and prompt handling."
241,1.0,2018,"This was a really great deal. Doesn't include Publisher though, which was a bummer."
242,1.0,2018,worked as it was supposed to do
243,1.0,2018,The students benefited from this software
244,1.0,2018,great price; love office 365 and I can share with my family. Works great with my Surface Pro so I can write on my word documents.
245,1.0,2018,Not a fan of Microsofts pricing policy but if you have multiple users in family this Amazon purchase is the best value and software is still the best in the business.
246,1.0,2018,Great price for Microsoft Office 365! I searched the internet over because I was buying this for a nonprofit and it fits the bill.
247,1.0,2018,just continued on my subscription.
248,1.0,2018,Glad for the coverage.
249,1.0,2018,Not much change in basics but you can go way far if you like.
250,-1.0,2018,"I am forced to use it because of work... Too expensive, same bugs that have been in Office for 15 years.  Microsoft is the too big and too arrogant!"
251,0.0,2018,Good
252,1.0,2018,Excellent price for a lot of value. The installation is very easy. Activation and upgrades are automatic. Besides that you get 5 licenses and 5 terabytes for storage. I think to renew for years to come.
253,1.0,2018,"Lots of hiccups in the installation process over two PCs.  Some because of me and some because of the product.  Online chat was very helpful with correcting issues.  I've been using Microsoft since the 90s and have always been pleased.  However, this whole subscription thing is a hit to the pocketbook"
254,1.0,2018,Arrived on time. Great product. Price could be cheaper.
255,-1.0,2018,Over priced. Found it cheeper after I bought it.
256,1.0,2018,"This product works well on windows 10, however I have not been abel to get it to work on windows 7."
257,-1.0,2018,duplicate order received product is fine
258,1.0,2018,Get access to programs I like without having to pay major money to upgrade to the next level.  Works great so far!
259,1.0,2018,It's working fine.
260,1.0,2018,See headline.
261,1.0,2018,Cheaper than going through Microsoft.
262,1.0,2018,Especially like the ability to email link to someone to share for other users.
263,-1.0,2018,Have had one problem after another down loading office.  Took all night and could not use instructions that came with.
264,1.0,2018,easy to install
265,1.0,2018,"You got 5 licenses and 1 terabyte per license for cloud storage. Just this 1T is worth when compared with icloud and Google drive. Again, 1T per user up to 5 users. Office is perfect and MS is adding a lot of things on it."
266,1.0,2018,Good deal for multi-computer family.
267,-1.0,2018,"it didn't work, gave me  number to call, and was a scam because they wanted $400 to fix whatever they say was wrong to why it wouldn't load.  I have never had such problems.  This was disappointing and a waste of my money.  Still can't use it."
268,-1.0,2018,"This stripped down version gives you some of the features but not all.  Outlook has features not available, and Excel will not run any sheets that have complex macros built in.  Spend the little extra and get the full blown installed versions from the 2016 Home edition."
269,1.0,2018,great
270,1.0,2018,Excellent product and service
271,-1.0,2018,"Everything is slower. Excel is hands down the worst. The amount of auto-this auto-that that is enabled by default is incredible. It's like the UI designer thinks we're all retards. Powerpoint is the only thing that is much nicer. Everything else, don't bother."
272,1.0,2018,"works well
the price for a Mac User is ridiculously high--most do not need anything but word and power point
the changes in those programs are largely irrelevant for the routine user but the old version of Word won-t run on the new Mac operating system
thus a high price for really nothing useful to the user
i am writing this in hope that Microsoft will stop gauging the routine user for the software"
273,1.0,2018,Works great.
274,0.0,2018,"I've been using Microsoft Office in all its different versions since it first appeared.  I knocked two stars off because, among other things, Outlook 2016 doesn't have a unified Inbox.  Each email address has it's own .pst.  So, if you have multiple email accounts, you'll either need to look through multiple inboxes for your mail, or write a rule to direct all your accounts into a new .pst you'll create.  I did this, but that's not without its problems, too.  Unbelievable.  I like POP email because it resides on my local machine, and can be easily searched.  It's obvious Microsoft, in this version, wants you to use IMAP, which does no more than show you a picture of what's already in your web based email accounts.  The argument is that IMAP allows you to check email from multiple devices, but with POP you can still leave email on the server by simply checking a box (Gmail, etc).  And, IMAP makes searching for a key word among all your emails impossible.  I like the 5 machine licenses, but would rather have Outlook 2007 than this.  The forums are filled with complaints about Outlook 2016, and thus far, Microsoft is unresponsive."
275,0.0,2018,Use it daily with mixed results!
276,1.0,2018,just what we needed.
277,0.0,2018,"MS is now becoming an annual fee software provider.  Soon their operating systems, i.e., Windows 10, will be an annual purchase or go dead after your a day late in paying the annual fee."
278,0.0,2018,"I'm frustrated with subscription based software. Microsoft tends to lag while the program checks to the Internet for the stupidest things. I do enjoy Powerpoint and Word the best, but am considering switching to OpenOffice next year."
